Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,47pF,
"C10, C7, C8, C9",0805,4,4n7,
"C11, C12, C21",0805,3,2n2,
"C13, C14",0805,2,1n,
"C15, C16",0805,2,680pF,
"C17, C18",0805,2,220pF,
"C19, C20",C_Rect_L7.2mm_W8.5mm_P5.00mm_FKP2_FKP2_MKS2_MKP2,2,4u7,
"C3, C4",0805,2,22n,
"C30, C31, C32, C33, C34, C35, C36, C37",0805,8,0.1u,
"C44, C46",CAPAE430X610N,2,22u,
"C5, C6",0805,2,10n,
J1,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,IN 2,
J10,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,218,
J11,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,115,
J12,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,61,
J13,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J14, J15",PinSocket_1x07_P2.54mm_Vertical,2,Conn_01x07_Socket,
"J16, J17",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07_Pin,
J18,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J19,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J2,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,IN 1,
J3,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,COMB R,
J4,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,COMB L,
J5,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,5.2k,
J6,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,2.8k,
J7,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,1.5k,
J8,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,777,
J9,Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical_Alt,1,411,
"R1, R10, R11, R12, R13, R2, R48, R49, R51, R52, R53",0805,11,330R,
R14,0805,1,62k,
"R15, R20",0805,2,36k,
R16,0805,1,820k,
"R17, R24, R25, R28, R32, R33, R44, R45, R46, R47, R50, R54, R55, R56, R57, R8",0805,16,47k,
R18,0805,1,68k,
"R19, R26",0805,2,43k,
"R21, R43",0805,2,22k,
R22,0805,1,910k,
R23,0805,1,510k,
R27,0805,1,24k,
R29,0805,1,27k,
"R3, R4, R9",0805,3,100k,
R30,0805,1,560k,
R31,0805,1,620k,
"R34, R38",0805,2,82k,
"R35, R41",0805,2,16k5,
R36,0805,1,33k,
"R37, R42",0805,2,10k,
"R39, R40",0805,2,130k,
R5,0805,1,51k,
R6,0805,1,680k,
R7,0805,1,30k,
RV2,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,100k,
"U1, U2, U3, U4",SOIC-14_3.9x8.7mm_P1.27mm,4,TL074,
